id,event,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,kickoff_time
1,1,12,4,3,4,True,2025-08-15T19:00:00Z
2,1,2,15,3,3,True,2025-08-16T11:30:00Z
3,1,6,10,2,3,True,2025-08-16T14:00:00Z
6,1,18,3,2,3,True,2025-08-16T14:00:00Z
5,1,17,19,2,3,True,2025-08-16T14:00:00Z
7,1,20,13,4,2,True,2025-08-16T16:30:00Z
8,1,7,8,3,3,True,2025-08-17T13:00:00Z
4,1,16,5,3,3,True,2025-08-17T13:00:00Z
9,1,14,1,4,3,True,2025-08-17T15:30:00Z
10,1,11,9,2,3,True,2025-08-18T19:00:00Z
20,2,19,7,3,2,True,2025-08-22T19:00:00Z
18,2,13,18,3,4,True,2025-08-23T11:30:00Z
12,2,4,20,2,4,True,2025-08-23T14:00:00Z
13,2,5,2,3,3,True,2025-08-23T14:00:00Z
14,2,3,17,2,2,True,2025-08-23T14:00:00Z
11,2,1,11,2,5,True,2025-08-23T16:30:00Z
15,2,8,16,2,3,True,2025-08-24T13:00:00Z
16,2,9,6,3,3,True,2025-08-24T13:00:00Z
17,2,10,14,3,3,True,2025-08-24T15:30:00Z
19,2,15,12,4,4,True,2025-08-25T19:00:00Z
23,3,7,10,2,3,True,2025-08-30T11:30:00Z
26,3,14,3,2,3,True,2025-08-30T14:00:00Z
29,3,18,4,3,3,True,2025-08-30T14:00:00Z
28,3,17,5,3,3,True,2025-08-30T14:00:00Z
30,3,20,9,2,2,True,2025-08-30T14:00:00Z
24,3,11,15,3,3,True,2025-08-30T16:30:00Z
22,3,6,13,4,3,True,2025-08-31T13:00:00Z
27,3,16,19,2,3,True,2025-08-31T13:00:00Z
25,3,12,1,4,4,True,2025-08-31T15:30:00Z
21,3,2,8,3,3,True,2025-08-31T18:00:00Z
31,4,1,16,2,5,True,2025-09-13T11:30:00Z
32,4,4,6,3,4,True,2025-09-13T14:00:00Z
35,4,8,17,2,3,True,2025-09-13T14:00:00Z
36,4,9,2,3,3,True,2025-09-13T14:00:00Z
37,4,10,11,2,3,True,2025-09-13T14:00:00Z
39,4,15,20,2,4,True,2025-09-13T14:00:00Z
40,4,19,18,3,2,True,2025-09-13T16:30:00Z
33,4,5,7,3,3,True,2025-09-13T19:00:00Z
34,4,3,12,4,2,True,2025-09-14T13:00:00Z
38,4,13,14,3,4,True,2025-09-14T15:30:00Z
46,5,12,9,2,4,True,2025-09-20T11:30:00Z
43,5,6,18,3,3,True,2025-09-20T14:00:00Z
44,5,3,16,2,2,True,2025-09-20T14:00:00Z
49,5,19,8,3,2,True,2025-09-20T14:00:00Z
50,5,20,11,2,2,True,2025-09-20T14:00:00Z
47,5,14,7,3,3,True,2025-09-20T16:30:00Z
45,5,10,5,3,3,True,2025-09-20T19:00:00Z
42,5,4,15,3,4,True,2025-09-21T13:00:00Z
48,5,17,2,3,3,True,2025-09-21T13:00:00Z
41,5,1,13,4,5,True,2025-09-21T15:30:00Z
52,6,5,14,3,3,True,2025-09-27T11:30:00Z
53,6,7,6,3,3,True,2025-09-27T14:00:00Z
54,6,8,12,4,3,True,2025-09-27T14:00:00Z
56,6,11,4,3,3,True,2025-09-27T14:00:00Z
57,6,13,3,2,4,True,2025-09-27T14:00:00Z
59,6,16,17,2,3,True,2025-09-27T16:30:00Z
60,6,18,20,2,3,True,2025-09-27T19:00:00Z
51,6,2,10,2,3,True,2025-09-28T13:00:00Z
58,6,15,1,4,4,True,2025-09-28T15:30:00Z
55,6,9,19,2,3,True,2025-09-29T19:00:00Z
63,7,4,10,2,4,True,2025-10-03T19:00:00Z
67,7,11,18,3,3,True,2025-10-04T11:30:00Z
61,7,1,19,2,5,True,2025-10-04T14:00:00Z
68,7,14,17,2,3,True,2025-10-04T14:00:00Z
65,7,7,12,4,3,True,2025-10-04T16:30:00Z
62,7,2,3,2,3,True,2025-10-05T13:00:00Z
66,7,9,8,3,3,True,2025-10-05T13:00:00Z
69,7,15,16,2,4,True,2025-10-05T13:00:00Z
70,7,20,6,3,2,True,2025-10-05T13:00:00Z
64,7,5,13,4,3,True,2025-10-05T15:30:00Z
77,8,16,7,3,3,True,2025-10-18T11:30:00Z
71,8,6,15,3,3,True,2025-10-18T14:00:00Z
72,8,3,11,2,2,True,2025-10-18T14:00:00Z
73,8,8,4,3,3,True,2025-10-18T14:00:00Z
76,8,13,9,2,4,True,2025-10-18T14:00:00Z
78,8,17,20,2,3,True,2025-10-18T14:00:00Z
74,8,10,1,4,3,True,2025-10-18T16:30:00Z
79,8,18,2,3,3,True,2025-10-19T13:00:00Z
75,8,12,14,3,4,True,2025-10-19T15:30:00Z
80,8,19,5,3,2,True,2025-10-20T19:00:00Z
87,9,11,19,2,3,True,2025-10-24T19:00:00Z
85,9,7,17,2,3,True,2025-10-25T14:00:00Z
89,9,15,10,2,4,True,2025-10-25T14:00:00Z
88,9,14,6,3,3,True,2025-10-25T16:30:00Z
84,9,5,12,4,3,True,2025-10-25T19:00:00Z
81,9,1,8,3,5,True,2025-10-26T14:00:00Z
82,9,2,13,4,3,True,2025-10-26T14:00:00Z
83,9,4,16,2,4,True,2025-10-26T14:00:00Z
90,9,20,3,2,2,True,2025-10-26T14:00:00Z
86,9,9,18,3,3,True,2025-10-26T16:30:00Z
91,10,6,11,2,3,True,2025-11-01T15:00:00Z
92,10,3,1,4,2,True,2025-11-01T15:00:00Z
93,10,8,5,3,3,True,2025-11-01T15:00:00Z
94,10,10,20,2,3,True,2025-11-01T15:00:00Z
97,10,16,14,3,3,True,2025-11-01T15:00:00Z
99,10,18,7,3,3,True,2025-11-01T17:30:00Z
95,10,12,2,3,4,True,2025-11-01T20:00:00Z
100,10,19,15,3,2,True,2025-11-02T14:00:00Z
96,10,13,4,3,4,True,2025-11-02T16:30:00Z
98,10,17,9,2,3,True,2025-11-03T20:00:00Z
109,11,18,14,3,3,False,2025-11-08T12:30:00Z
105,11,9,10,2,3,False,2025-11-08T15:00:00Z
110,11,19,3,2,2,False,2025-11-08T15:00:00Z
108,11,17,1,4,3,False,2025-11-08T17:30:00Z
103,11,7,20,2,3,False,2025-11-08T20:00:00Z
101,11,2,4,3,3,False,2025-11-09T14:00:00Z
102,11,5,15,3,3,False,2025-11-09T14:00:00Z
104,11,8,6,3,3,False,2025-11-09T14:00:00Z
107,11,16,11,2,3,False,2025-11-09T14:00:00Z
106,11,13,12,4,4,False,2025-11-09T16:30:00Z
114,12,3,7,3,2,False,2025-11-22T12:30:00Z
112,12,4,19,2,4,False,2025-11-22T15:00:00Z
113,12,6,5,3,3,False,2025-11-22T15:00:00Z
115,12,10,17,2,3,False,2025-11-22T15:00:00Z
117,12,12,16,2,4,False,2025-11-22T15:00:00Z
120,12,20,8,3,2,False,2025-11-22T15:00:00Z
119,12,15,13,4,4,False,2025-11-22T17:30:00Z
116,12,11,2,3,3,False,2025-11-23T14:00:00Z
111,12,1,18,3,5,False,2025-11-23T16:30:00Z
118,12,14,9,2,3,False,2025-11-24T20:00:00Z
122,13,5,3,2,3,False,2025-11-29T15:00:00Z
126,13,13,11,2,4,False,2025-11-29T15:00:00Z
128,13,17,4,3,3,False,2025-11-29T15:00:00Z
125,13,9,15,3,3,False,2025-11-29T17:30:00Z
129,13,18,10,2,3,False,2025-11-29T20:00:00Z
124,13,8,14,3,3,False,2025-11-30T12:00:00Z
121,13,2,20,2,3,False,2025-11-30T14:05:00Z
127,13,16,6,3,3,False,2025-11-30T14:05:00Z
130,13,19,12,4,2,False,2025-11-30T14:05:00Z
123,13,7,1,4,3,False,2025-11-30T16:30:00Z
132,14,4,9,2,4,False,2025-12-02T19:30:00Z
135,14,10,13,4,3,False,2025-12-02T19:30:00Z
139,14,15,18,3,4,False,2025-12-02T20:15:00Z
131,14,1,5,3,5,False,2025-12-03T19:30:00Z
133,14,6,2,3,3,False,2025-12-03T19:30:00Z
134,14,3,8,3,2,False,2025-12-03T19:30:00Z
140,14,20,16,2,2,False,2025-12-03T19:30:00Z
136,14,11,7,3,3,False,2025-12-03T20:15:00Z
137,14,12,17,2,4,False,2025-12-03T20:15:00Z
138,14,14,19,2,3,False,2025-12-04T20:00:00Z
141,15,2,1,4,3,False,2025-12-06T12:30:00Z
142,15,4,7,3,4,False,2025-12-06T15:00:00Z
144,15,9,16,2,3,False,2025-12-06T15:00:00Z
147,15,13,17,2,4,False,2025-12-06T15:00:00Z
148,15,15,3,2,4,False,2025-12-06T15:00:00Z
