id,first_name,second_name,web_name,team_name,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,form,selected_by_percent,transfers_in,transfers_out,ict_index,influence,creativity,threat,bonus,bps,value_season
1,David,Raya Martín,Raya,Arsenal,GKP,57,40,720,0,0,5,4.7,28.5,1728529,760728,15.0,140.4,10.0,0.0,3,167,7.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,Arsenal,GKP,43,0,0,0,0,0,0.0,0.5,6969,53565,0.0,0.0,0.0,0.0,0,0,0.0
3,Karl,Hein,Hein,Arsenal,GKP,40,0,0,0,0,0,0.0,0.3,5545,35967,0.0,0.0,0.0,0.0,0,0,0.0
4,Tommy,Setford,Setford,Arsenal,GKP,40,0,0,0,0,0,0.0,0.2,14604,13380,0.0,0.0,0.0,0.0,0,0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,Arsenal,DEF,64,59,720,1,1,5,11.3,33.6,2482199,774529,33.0,234.0,24.7,71.0,8,202,9.2
6,William,Saliba,Saliba,Arsenal,DEF,60,31,499,0,0,4,4.3,12.6,671742,1085034,15.8,125.8,22.0,10.0,1,135,5.2
7,Riccardo,Calafiori,Calafiori,Arsenal,DEF,58,48,614,1,2,5,4.3,14.9,1816672,535647,31.9,118.0,74.4,127.0,3,155,8.3
8,Jurriën,Timber,J.Timber,Arsenal,DEF,60,54,611,2,2,4,6.3,20.9,2400678,462422,55.3,207.8,154.9,189.0,7,205,9.0
9,Jakub,Kiwior,Kiwior,Arsenal,DEF,54,0,0,0,0,0,0.0,0.1,1119,10197,0.0,0.0,0.0,0.0,0,0,0.0
10,Myles,Lewis-Skelly,Lewis-Skelly,Arsenal,DEF,52,4,83,0,0,0,0.7,1.7,43955,330794,1.7,7.6,6.9,4.0,0,13,0.8
11,Benjamin,White,White,Arsenal,DEF,54,6,70,0,0,1,0.0,0.4,29160,85747,2.8,15.4,11.3,1.0,0,23,1.1
13,Brayden,Clarke,Clarke,Arsenal,DEF,39,0,0,0,0,0,0.0,0.5,25777,42763,0.0,0.0,0.0,0.0,0,0,0.0
14,Maldini,Kacurri,Kacurri,Arsenal,DEF,39,0,0,0,0,0,0.0,0.1,10218,17302,0.0,0.0,0.0,0.0,0,0,0.0
15,Josh,Nichols,Nichols,Arsenal,DEF,39,0,0,0,0,0,0.0,0.2,12693,14636,0.0,0.0,0.0,0.0,0,0,0.0
16,Bukayo,Saka,Saka,Arsenal,MID,100,27,436,2,0,3,5.7,14.3,1626445,1756598,46.4,130.0,194.4,140.0,2,101,2.7
17,Martin,Ødegaard,Ødegaard,Arsenal,MID,79,13,201,0,1,1,1.7,1.6,132931,389485,13.0,43.0,65.0,22.0,0,47,1.6
18,Noni,Madueke,Madueke,Arsenal,MID,69,10,304,0,0,2,0.0,0.7,148816,216603,24.6,30.2,111.7,105.0,0,39,1.4
19,Gabriel,Martinelli Silva,Martinelli,Arsenal,MID,69,15,190,1,0,1,1.0,1.2,81398,123046,17.2,50.0,30.3,91.0,1,54,2.2
20,Leandro,Trossard,Trossard,Arsenal,MID,69,22,372,1,1,2,5.0,0.4,22831,27557,28.9,76.6,100.0,113.0,2,78,3.2
21,Declan,Rice,Rice,Arsenal,MID,66,43,632,1,3,4,7.7,11.3,905150,576929,44.1,172.0,225.9,43.0,6,164,6.5
22,Mikel,Merino Zazón,Merino,Arsenal,MID,59,16,270,1,0,2,2.7,0.6,73634,84226,17.9,69.0,44.8,68.0,0,57,2.7
23,Fábio,Ferreira Vieira,Fábio Vieira,Arsenal,MID,54,0,0,0,0,0,0.0,0.0,933,4163,0.0,0.0,0.0,0.0,0,0,0.0
24,Christian,Nørgaard,Nørgaard,Arsenal,MID,53,1,1,0,0,0,0.3,0.2,3427,53411,0.1,1.0,0.0,0.0,0,3,0.2
25,Ethan,Nwaneri,Nwaneri,Arsenal,MID,52,6,145,0,0,1,0.3,0.2,9394,27053,5.0,8.2,22.0,21.0,0,15,1.2
26,Martín,Zubimendi Ibáñez,Zubimendi,Arsenal,MID,55,35,681,2,0,5,2.7,4.1,554066,354327,31.1,152.6,110.8,47.0,3,152,6.4
28,Ismeal,Kabia,Kabia,Arsenal,MID,45,0,0,0,0,0,0.0,0.1,6731,26346,0.0,0.0,0.0,0.0,0,0,0.0
29,Albert,Sambi Lokonga,Sambi,Arsenal,MID,45,0,0,0,0,0,0.0,0.1,2952,12404,0.0,0.0,0.0,0.0,0,0,0.0
30,Kai,Havertz,Havertz,Arsenal,FWD,73,1,30,0,0,0,0.0,0.3,8748,107448,0.6,2.8,0.8,2.0,0,4,0.1
31,Gabriel,Fernando de Jesus,G.Jesus,Arsenal,FWD,64,0,0,0,0,0,0.0,0.0,1026,3484,0.0,0.0,0.0,0.0,0,0,0.0
266,Eberechi,Eze,Eze,Arsenal,MID,76,25,455,0,3,4,3.7,13.8,1379960,1023385,30.6,76.4,83.2,146.0,0,91,3.3
662,Cristhian,Mosquera,Mosquera,Arsenal,DEF,54,12,247,0,0,1,0.3,0.2,22152,22668,6.2,55.2,2.6,4.0,1,57,2.2
666,Viktor,Gyökeres,Gyökeres,Arsenal,FWD,90,28,666,3,0,4,2.0,23.3,2191721,2386092,45.4,121.6,70.1,262.0,2,104,3.1
700,Max,Dowman,Dowman,Arsenal,MID,44,5,27,0,1,0,0.0,0.3,73841,45170,2.8,1.0,0.8,26.0,0,13,1.1
711,Andre,Harriman-Annous,Harriman-Annous,Arsenal,MID,45,0,0,0,0,0,0.0,0.0,983,656,0.0,0.0,0.0,0.0,0,0,0.0
725,Piero,Hincapié,Hincapie,Arsenal,DEF,54,0,0,0,0,0,0.0,0.0,3670,3376,0.0,0.0,0.0,0.0,0,0,0.0
32,Emiliano,Martínez Romero,Martinez,Aston Villa,GKP,50,17,540,0,0,1,2.0,2.0,179860,142300,10.5,102.6,3.0,0.0,0,86,3.4
33,Marco,Bizot,M.Bizot,Aston Villa,GKP,44,7,180,0,0,1,0.0,0.5,75035,87422,2.6,25.4,0.0,0.0,0,22,1.6
34,Joe,Gauci,Gauci,Aston Villa,GKP,40,0,0,0,0,0,0.0,0.1,0,12893,0.0,0.0,0.0,0.0,0,0,0.0
35,Filip,Marschall,Marschall,Aston Villa,GKP,40,0,0,0,0,0,0.0,0.0,0,961,0.0,0.0,0.0,0.0,0,0,0.0
36,Matty,Cash,Cash,Aston Villa,DEF,46,31,696,1,0,2,2.0,5.0,618980,356909,29.4,156.8,102.5,33.0,2,114,6.7
37,Lucas,Digne,Digne,Aston Villa,DEF,45,26,568,0,2,2,3.7,1.8,117389,128302,28.8,109.4,133.1,47.0,0,110,5.8
38,Ezri,Konsa Ngoyo,Konsa,Aston Villa,DEF,45,18,605,0,0,2,2.0,9.5,213095,1350780,16.8,117.8,25.3,25.0,0,101,4.0
39,Ian,Maatsen,Maatsen,Aston Villa,DEF,43,4,150,0,0,0,0.7,0.5,18318,62263,12.6,44.0,67.2,14.0,0,28,0.9
40,Tyrone,Mings,Mings,Aston Villa,DEF,45,23,481,0,0,2,0.3,1.0,120564,131791,18.8,118.2,44.2,25.0,1,83,5.1
41,Pau,Torres,Pau,Aston Villa,DEF,43,10,344,0,0,0,2.3,0.3,13174,33597,9.8,74.8,9.5,13.0,0,50,2.3
42,Andrés,García,A.García,Aston Villa,DEF,39,0,0,0,0,0,0.0,0.3,20838,21309,0.0,0.0,0.0,0.0,0,0,0.0
43,Álex,Moreno Lopera,Alex Moreno,Aston Villa,DEF,40,0,0,0,0,0,0.0,2.7,44476,760265,0.0,0.0,0.0,0.0,0,0,0.0
44,Lamare,Bogarde,Bogarde,Aston Villa,DEF,40,15,282,0,0,1,1.3,0.7,72774,34163,5.7,20.2,32.1,6.0,3,47,3.8
45,Lino,da Cruz Sousa,Sousa,Aston Villa,DEF,40,0,0,0,0,0,0.0,0.3,12507,20098,0.0,0.0,0.0,0.0,0,0,0.0
46,Yasin,Özcan,Yasin,Aston Villa,DEF,40,0,0,0,0,0,0.0,0.2,4656,16062,0.0,0.0,0.0,0.0,0,0,0.0
47,Morgan,Rogers,Rogers,Aston Villa,MID,68,29,711,1,2,2,5.7,5.1,479700,994144,35.5,125.6,122.3,107.0,0,91,4.3
48,Youri,Tielemans,Tielemans,Aston Villa,MID,59,8,315,0,0,1,0.0,0.6,46646,232112,13.8,34.2,74.2,29.0,0,46,1.4
49,Leon,Bailey,Bailey,Aston Villa,MID,55,0,0,0,0,0,0.0,0.1,2168,46858,0.0,0.0,0.0,0.0,0,0,0.0
50,Emiliano,Buendía Stati,Buendía,Aston Villa,MID,53,24,337,2,1,1,6.3,0.2,26201,23351,28.3,114.6,78.7,89.0,4,76,4.5
51,Samuel,Iling-Junior,Iling Jr,Aston Villa,MID,55,0,0,0,0,0,0.0,0.0,1383,3386,0.0,0.0,0.0,0.0,0,0,0.0
53,Donyell,Malen,Malen,Aston Villa,MID,51,24,288,2,0,0,6.0,0.8,60756,180734,20.7,80.4,44.6,89.0,3,65,4.7
54,John,McGinn,McGinn,Aston Villa,MID,54,23,636,1,0,3,3.7,0.7,57855,65477,28.8,101.4,146.4,39.0,0,112,4.3
55,Ross,Barkley,Barkley,Aston Villa,MID,48,2,14,0,0,0,0.7,0.0,987,7398,1.1,2.4,1.6,7.0,0,5,0.4
56,Enzo,Barrenechea,Barrenechea,Aston Villa,MID,50,0,0,0,0,0,0.0,0.0,0,30,0.0,0.0,0.0,0.0,0,0,0.0
57,Lewis,Dobbin,Dobbin,Aston Villa,MID,50,0,0,0,0,0,0.0,0.0,889,5024,0.0,0.0,0.0,0.0,0,0,0.0
58,Boubacar,Kamara,Kamara,Aston Villa,MID,49,17,384,0,2,1,2.7,0.2,14118,21108,20.1,109.4,68.0,24.0,1,96,3.5
59,Amadou,Onana,Onana,Aston Villa,MID,48,11,235,0,0,1,1.7,0.6,61942,189555,8.1,52.8,12.9,16.0,0,43,2.3
60,Ben,Broggio,Broggio,Aston Villa,MID,45,0,0,0,0,0,0.0,0.3,25929,28239,0.0,0.0,0.0,0.0,0,0,0.0
61,Leander,Dendoncker,Dendoncker,Aston Villa,MID,45,0,0,0,0,0,0.0,0.1,2169,29804,0.0,0.0,0.0,0.0,0,0,0.0
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,Aston Villa,MID,45,0,0,0,0,0,0.0,0.1,4663,5050,0.0,0.0,0.0,0.0,0,0,0.0
63,Kadan,Young,Young,Aston Villa,MID,44,0,0,0,0,0,0.0,0.7,50613,59892,0.0,0.0,0.0,0.0,0,0,0.0
64,Ollie,Watkins,Watkins,Aston Villa,FWD,86,21,627,1,0,3,3.7,7.6,504645,2586123,27.1,59.4,65.6,147.0,2,63,2.4
65,Zépiqueno,Redmond,Redmond,Aston Villa,FWD,45,0,0,0,0,0,0.0,0.4,17574,73602,0.0,0.0,0.0,0.0,0,0,0.0
389,Harvey,Elliott,Elliott,Aston Villa,MID,54,4,97,0,0,0,0.3,0.4,88414,70751,4.4,8.6,17.8,18.0,0,13,0.7
456,Jadon,Sancho,Sancho,Aston Villa,MID,59,1,8,0,0,0,0.0,0.2,25529,28815,1.1,0.8,2.8,7.0,0,2,0.2
677,Evann,Guessand,Guessand,Aston Villa,MID,63,11,342,0,0,1,1.7,0.0,3466,7665,12.0,46.0,21.7,52.0,0,32,1.7
688,James,Wright,Wright,Aston Villa,GKP,40,0,0,0,0,0,0.0,0.5,24161,18062,0.0,0.0,0.0,0.0,0,0,0.0
701,Triston,Rowe,Rowe,Aston Villa,DEF,40,0,0,0,0,0,0.0,0.1,8943,8082,0.0,0.0,0.0,0.0,0,0,0.0
702,Bradley,Burrowes,Burrowes,Aston Villa,MID,45,1,16,0,0,0,0.0,0.1,6895,4796,0.0,0.0,0.3,0.0,0,3,0.2
703,Sam,Proctor,Proctor,Aston Villa,GKP,40,0,0,0,0,0,0.0,0.2,18822,8738,0.0,0.0,0.0,0.0,0,0,0.0
710,Travis,Patterson,Patterson,Aston Villa,DEF,39,0,0,0,0,0,0.0,0.1,10555,4254,0.0,0.0,0.0,0.0,0,0,0.0
719,Victor,Lindelöf,Lindelöf,Aston Villa,DEF,45,3,21,0,0,0,0.7,0.0,3268,1682,0.4,3.0,0.4,0.0,0,9,0.7
183,Max,Weiß,Weiss,Burnley,GKP,44,0,0,0,0,0,0.0,0.1,3212,10376,0.0,0.0,0.0,0.0,0,0,0.0
