player_id,first_name,second_name,web_name,team_name,position
1,David,Raya Martín,Raya,Arsenal,GKP
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,Arsenal,GKP
3,Karl,Hein,Hein,Arsenal,GKP
4,Tommy,Setford,Setford,Arsenal,GKP
5,Gabriel,dos Santos Magalhães,Gabriel,Arsenal,DEF
6,William,Saliba,Saliba,Arsenal,DEF
7,Riccardo,Calafiori,Calafiori,Arsenal,DEF
8,Jurriën,Timber,J.Timber,Arsenal,DEF
9,Jakub,Kiwior,Kiwior,Arsenal,DEF
10,Myles,Lewis-Skelly,Lewis-Skelly,Arsenal,DEF
11,Benjamin,White,White,Arsenal,DEF
13,Brayden,Clarke,Clarke,Arsenal,DEF
14,Maldini,Kacurri,Kacurri,Arsenal,DEF
15,Josh,Nichols,Nichols,Arsenal,DEF
16,Bukayo,Saka,Saka,Arsenal,MID
17,Martin,Ødegaard,Ødegaard,Arsenal,MID
18,Noni,Madueke,Madueke,Arsenal,MID
19,Gabriel,Martinelli Silva,Martinelli,Arsenal,MID
20,Leandro,Trossard,Trossard,Arsenal,MID
21,Declan,Rice,Rice,Arsenal,MID
22,Mikel,Merino Zazón,Merino,Arsenal,MID
23,Fábio,Ferreira Vieira,Fábio Vieira,Arsenal,MID
24,Christian,Nørgaard,Nørgaard,Arsenal,MID
25,Ethan,Nwaneri,Nwaneri,Arsenal,MID
26,Martín,Zubimendi Ibáñez,Zubimendi,Arsenal,MID
28,Ismeal,Kabia,Kabia,Arsenal,MID
29,Albert,Sambi Lokonga,Sambi,Arsenal,MID
30,Kai,Havertz,Havertz,Arsenal,FWD
31,Gabriel,Fernando de Jesus,G.Jesus,Arsenal,FWD
266,Eberechi,Eze,Eze,Arsenal,MID
662,Cristhian,Mosquera,Mosquera,Arsenal,DEF
666,Viktor,Gyökeres,Gyökeres,Arsenal,FWD
700,Max,Dowman,Dowman,Arsenal,MID
711,Andre,Harriman-Annous,Harriman-Annous,Arsenal,MID
725,Piero,Hincapié,Hincapie,Arsenal,DEF
32,Emiliano,Martínez Romero,Martinez,Aston Villa,GKP
33,Marco,Bizot,M.Bizot,Aston Villa,GKP
34,Joe,Gauci,Gauci,Aston Villa,GKP
35,Filip,Marschall,Marschall,Aston Villa,GKP
36,Matty,Cash,Cash,Aston Villa,DEF
37,Lucas,Digne,Digne,Aston Villa,DEF
38,Ezri,Konsa Ngoyo,Konsa,Aston Villa,DEF
39,Ian,Maatsen,Maatsen,Aston Villa,DEF
40,Tyrone,Mings,Mings,Aston Villa,DEF
41,Pau,Torres,Pau,Aston Villa,DEF
42,Andrés,García,A.García,Aston Villa,DEF
43,Álex,Moreno Lopera,Alex Moreno,Aston Villa,DEF
44,Lamare,Bogarde,Bogarde,Aston Villa,DEF
45,Lino,da Cruz Sousa,Sousa,Aston Villa,DEF
46,Yasin,Özcan,Yasin,Aston Villa,DEF
47,Morgan,Rogers,Rogers,Aston Villa,MID
48,Youri,Tielemans,Tielemans,Aston Villa,MID
49,Leon,Bailey,Bailey,Aston Villa,MID
50,Emiliano,Buendía Stati,Buendía,Aston Villa,MID
51,Samuel,Iling-Junior,Iling Jr,Aston Villa,MID
53,Donyell,Malen,Malen,Aston Villa,MID
54,John,McGinn,McGinn,Aston Villa,MID
55,Ross,Barkley,Barkley,Aston Villa,MID
56,Enzo,Barrenechea,Barrenechea,Aston Villa,MID
57,Lewis,Dobbin,Dobbin,Aston Villa,MID
58,Boubacar,Kamara,Kamara,Aston Villa,MID
59,Amadou,Onana,Onana,Aston Villa,MID
60,Ben,Broggio,Broggio,Aston Villa,MID
61,Leander,Dendoncker,Dendoncker,Aston Villa,MID
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,Aston Villa,MID
63,Kadan,Young,Young,Aston Villa,MID
64,Ollie,Watkins,Watkins,Aston Villa,FWD
65,Zépiqueno,Redmond,Redmond,Aston Villa,FWD
389,Harvey,Elliott,Elliott,Aston Villa,MID
456,Jadon,Sancho,Sancho,Aston Villa,MID
677,Evann,Guessand,Guessand,Aston Villa,MID
688,James,Wright,Wright,Aston Villa,GKP
701,Triston,Rowe,Rowe,Aston Villa,DEF
702,Bradley,Burrowes,Burrowes,Aston Villa,MID
703,Sam,Proctor,Proctor,Aston Villa,GKP
710,Travis,Patterson,Patterson,Aston Villa,DEF
719,Victor,Lindelöf,Lindelöf,Aston Villa,DEF
183,Max,Weiß,Weiss,Burnley,GKP
184,Etienne,Green,Green,Burnley,GKP
185,Václav,Hladký,Hladký,Burnley,GKP
186,Connor,Roberts,Roberts,Burnley,DEF
187,Kyle,Walker,Walker,Burnley,DEF
188,Hannes,Delcroix,Delcroix,Burnley,DEF
189,Owen,Dodgson,Dodgson,Burnley,DEF
190,Hjalmar,Ekdal,Ekdal,Burnley,DEF
191,Maxime,Estève,Estève,Burnley,DEF
192,Quilindschy,Hartman,Hartman,Burnley,DEF
193,Bashir,Humphreys,Humphreys,Burnley,DEF
194,Jordan,Beyer,Jordan,Burnley,DEF
195,Lucas,Pires Silva,Lucas Pires,Burnley,DEF
196,Shurandy,Sambo,Sambo,Burnley,DEF
197,Oliver,Sonne,Sonne,Burnley,DEF
198,Axel,Tuanzebe,Tuanzebe,Burnley,DEF
199,Joe,Worrall,Worrall,Burnley,DEF
200,Jaidon,Anthony,Anthony,Burnley,MID
