minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,1,0,0,0,0,0,0,1,0,25,15.0,0.1,0.0,1.5,2,10,0,0,1,0.00,0.00,0.00,0.47,6,False,1,9,2025-26,David Raya Martín,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,9,2025-26,Kepa Arrizabalaga Revuelta,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,9,2025-26,Karl Hein,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,9,2025-26,Tommy Setford,1,8,True
90,0,0,1,0,0,0,0,0,0,0,3,32,27.2,11.2,9.0,4.7,9,0,0,9,1,0.10,0.03,0.13,0.47,9,False,5,9,2025-26,Gabriel dos Santos Magalhães,1,8,True
45,0,0,0,0,0,0,0,0,0,0,0,10,7.4,1.5,0.0,0.9,1,1,0,1,1,0.00,0.02,0.02,0.08,1,False,6,9,2025-26,William Saliba,1,8,True
81,0,0,1,0,0,0,0,0,0,0,0,26,4.6,3.8,2.0,1.0,1,6,0,1,1,0.07,0.02,0.09,0.46,6,False,7,9,2025-26,Riccardo Calafiori,1,8,True
90,0,0,1,0,0,0,0,0,0,0,0,25,11.8,16.7,2.0,3.1,2,4,2,4,1,0.00,0.04,0.04,0.47,6,False,8,9,2025-26,Jurriën Timber,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,9,2025-26,Jakub Kiwior,1,8,True
2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,1,0,0,0,0.00,0.00,0.00,0.01,1,False,10,9,2025-26,Myles Lewis-Skelly,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,11,9,2025-26,Benjamin White,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,9,2025-26,Oleksandr Zinchenko,16,4,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,9,2025-26,Brayden Clarke,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,9,2025-26,Maldini Kacurri,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,9,2025-26,Josh Nichols,1,8,True
65,0,0,1,0,0,0,0,0,0,0,0,8,2.2,1.9,3.0,0.7,0,5,2,7,1,0.02,0.01,0.03,0.08,3,False,16,9,2025-26,Bukayo Saka,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,17,9,2025-26,Martin Ødegaard,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,18,9,2025-26,Noni Madueke,1,8,True
24,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.3,2.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.39,1,False,19,9,2025-26,Gabriel Martinelli Silva,1,8,True
90,0,0,1,0,0,0,0,0,0,0,0,4,4.8,7.7,33.0,4.6,1,6,0,7,1,0.34,0.05,0.39,0.47,3,False,20,9,2025-26,Leandro Trossard,1,8,True
81,0,1,1,0,0,0,0,0,0,0,1,27,21.2,40.8,29.0,9.1,3,3,3,9,1,0.37,0.61,0.98,0.46,7,False,21,9,2025-26,Declan Rice,1,8,True
8,0,0,0,0,0,0,0,0,0,0,0,4,4.0,0.3,0.0,0.4,2,0,0,2,0,0.00,0.00,0.00,0.01,1,False,22,9,2025-26,Mikel Merino Zazón,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,23,9,2025-26,Fábio Ferreira Vieira,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,24,9,2025-26,Christian Nørgaard,1,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,25,9,2025-26,Ethan Nwaneri,1,8,True
90,0,0,1,0,0,0,0,0,0,0,0,15,18.2,15.5,0.0,3.4,9,4,2,15,1,0.00,0.03,0.03,0.47,5,False,26,9,2025-26,Martín Zubimendi Ibáñez,1,8,True
