gameweek,Name,Team,Cost,App,Starts,Mins,On,Off,M/App,M/Strt,G,A,CS,GC,OG,PS,Svs,YC,RC,sBln,ARtn,Rtn,DC,B,DD,Tot,M/Pt,Pts/Strt
1,Adingra,BHA,5.1,1,0,48,1,0,48.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,8.0,0.0
1,Aina,NFO,4.7,1,1,52,0,1,52.0,52.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,52.0,1.0
1,Ait Nouri,WOL,5.8,1,1,83,0,1,83.0,83.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,83.0,1.0
1,Ajer,BRE,4.4,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Akanji,MCI,5.4,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15.0,6.0
1,Ali Al Hamadi,IPS,4.7,1,0,23,1,0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,0.0
1,Alcaraz,EVE,5.2,1,0,16,1,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0,0.0
1,Alexander-Arnold,LIV,7.2,1,1,75,0,1,75.0,75.0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,8,9.4,8.0
1,Amo-Ameyaw,SOU,4.4,1,0,15,1,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0,0.0
1,Andersen,FUL,4.5,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0
1,Anderson,NFO,5.3,1,0,25,1,0,25.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.0,0.0
1,Antonio,WHU,5.2,1,1,72,0,1,72.0,72.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,36.0,2.0
1,Joelinton,NEW,5.9,1,1,90,0,0,90.0,90.0,1,0,1,0,0,0,0,0,0,0,1,1,0,3,1,11,8.2,11.0
1,Araujo,BOU,3.9,1,0,33,1,0,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0,0.0
1,Archer,SOU,4.8,1,0,25,1,0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0,0.0
1,Areola,WHU,4.3,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Aribo,SOU,4.9,1,1,70,0,1,70.0,70.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,35.0,2.0
1,Armstrong (Adam),SOU,5.1,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Awoniyi,NFO,5.2,1,0,25,1,0,25.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.0,0.0
1,Ayari,BHA,4.9,1,0,10,1,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,0.0
1,Ayew,LEI,5.1,1,0,25,1,0,25.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1,Bailey,AVL,5.5,1,1,73,0,1,73.0,73.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,73.0,1.0
1,Barnes,NEW,6.4,1,0,26,1,0,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,0.0
1,Bassey,FUL,4.5,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,90.0,1.0
1,Bednarek,SOU,4.0,1,1,80,0,1,80.0,80.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,40.0,2.0
1,Bellegarde,WOL,5.2,1,1,56,0,1,56.0,56.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,56.0,1.0
1,Bentancur,TOT,5.3,1,1,71,0,1,71.0,71.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,71.0,1.0
1,Bergvall,TOT,5.4,1,0,22,1,0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,0.0
1,Billing,BOU,4.9,1,0,12,1,0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0.0
1,Boly,NFO,3.9,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Bruno Fernandes,MUN,8.9,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Bowen,WHU,7.8,1,1,72,0,1,72.0,72.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,36.0,2.0
1,Bradley,LIV,5.0,1,0,20,1,0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0.0
1,Brereton,SOU,4.8,1,1,70,0,1,70.0,70.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,70.0,1.0
1,Buonanotte,LEI,4.8,1,1,72,0,1,72.0,72.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,36.0,2.0
1,Burn,NEW,5.1,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,18.0,5.0
1,Burns,IPS,4.7,1,1,55,0,1,55.0,55.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0
1,Moises Caicedo,CHE,5.9,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,90.0,1.0
1,Cairney,FUL,4.9,1,0,31,1,0,31.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
