Unnamed: 0,Name,Gameweek,Team,Cost,Corners,Goal Attempts,xA Expected Assists,xG Expected Goals,Big Assists,Chances Created,DC Pts,Ownership,Svs,Solo Goals
,van de Ven,1,TOT,4.7,0,0,0.02,0.0,0,0,0,32.6,0,0
,van Hecke,1,BHA,4.4,0,0,0.0,0.0,0,0,0,1.3,0,0
,van Dijk,1,LIV,6.0,0,0,0.01,0.0,0,0,0,23.6,0,0
,Danilo,1,NFO,4.7,0,0,0.0,0.0,0,0,0,0.0,0,0
,Gabriel Magalhães,1,ARS,6.6,0,1,0.02,0.12,0,0,0,40.9,0,0
,de Ligt,1,MUN,5.0,0,0,0.0,0.0,0,0,0,3.0,0,0
,Jesus,1,ARS,6.4,0,0,0.0,0.0,0,0,0,0.0,0,0
,Richarlison,1,TOT,6.5,0,1,0.0,0.19,0,0,0,8.5,0,0
,Renato Veiga,1,CHE,4.4,0,0,0.0,0.0,0,0,0,0.1,0,0
,Zirkzee,1,MUN,5.8,0,1,0.0,0.07,0,0,0,0.4,0,0
,Zinchenko,1,ARS,4.9,0,0,0.04,0.0,0,0,0,0.2,0,0
,Zabarnyi,1,BOU,5.0,0,0,0.02,0.0,0,0,0,0.0,0,0
,Young (Ashley),1,EVE,4.2,0,0,0.17,0.0,0,1,0,1.4,0,0
,Yates,1,NFO,4.7,0,3,0.03,0.24,0,1,0,0.1,0,0
,Woolfenden,1,IPS,3.9,0,0,0.0,0.0,0,0,2,1.2,0,0
,Wood (Chris),1,NFO,7.2,0,1,0.02,0.71,0,0,0,6.5,0,0
,Wissa,1,BRE,7.4,0,2,0.01,1.0,0,1,0,0.5,0,0
,Winks,1,LEI,4.3,2,0,0.03,0.0,0,1,0,4.7,0,0
,Wilson (Harry),1,FUL,5.2,0,0,0.01,0.0,0,0,0,0.3,0,0
,Williams (Neco),1,NFO,4.7,0,1,0.13,0.03,0,2,0,3.5,0,0
,Wieffer,1,BHA,4.9,0,0,0.02,0.0,0,1,2,0.1,0,0
,White (Ben),1,ARS,5.3,0,2,0.06,0.07,0,0,0,0.4,0,0
,Wharton,1,CRY,5.0,3,3,0.02,0.09,0,0,0,0.5,0,0
,Werner,1,TOT,6.2,0,0,0.02,0.0,0,0,0,0.1,0,0
,Welbeck,1,BHA,6.5,0,2,0.04,0.2,0,2,0,7.9,0,1
,Webster,1,BHA,4.4,0,0,0.02,0.0,0,0,0,0.0,0,0
,Watkins,1,AVL,8.5,0,0,0.0,0.0,0,0,0,6.6,0,0
,Ward-Prowse,1,WHU,5.7,2,0,0.0,0.0,0,0,0,0.2,0,0
,Walton,1,IPS,4.3,0,0,0.0,0.0,0,0,0,0.2,3,0
,Walker-Peters,1,SOU,4.3,1,2,0.08,0.06,0,0,0,0.3,0,0
,Vicario,1,TOT,5.1,0,0,0.0,0.0,0,0,0,10.1,2,0
,Vestergaard,1,LEI,3.9,0,0,0.0,0.0,0,0,2,1.5,0,0
,Veltman,1,BHA,4.3,0,0,0.0,0.0,0,0,0,0.1,0,0
,Bernardo Silva,1,MCI,6.3,0,2,0.2,0.13,1,3,0,0.5,0,0
,Vardy,1,LEI,5.4,0,2,0.0,0.8,0,0,0,5.2,0,0
,Destiny Udogie,1,TOT,4.4,0,0,0.06,0.0,0,0,0,0.4,0,0
,Tuanzebe,1,IPS,3.9,0,1,0.0,0.07,0,0,0,1.8,0,0
,Tsimikas,1,LIV,4.8,0,0,0.01,0.0,0,0,0,0.1,0,0
,Trossard,1,ARS,6.9,1,0,0.0,0.0,0,0,0,0.5,0,0
,Traoré (Adama),1,FUL,5.2,0,3,0.02,0.1,0,0,0,0.2,0,0
,Amad Diallo,1,MUN,6.3,3,0,0.13,0.0,0,1,0,1.3,0,0
,Torres,1,AVL,4.3,0,0,0.01,0.0,0,0,0,0.3,0,0
,Chiquinho,1,WOL,4.5,0,0,0.05,0.0,0,1,0,0.1,0,0
,Lucas Paquetá,1,WHU,5.9,0,1,0.04,0.79,0,1,0,2.5,0,0
,Toffolo,1,NFO,4.2,1,1,0.01,0.02,0,0,0,0.1,0,0
,Todibo,1,WHU,4.3,0,0,0.0,0.0,0,0,0,0.1,0,0
,Jurriën Timber,1,ARS,6.1,0,1,0.01,0.02,0,0,0,25.1,0,0
,Tielemans,1,AVL,5.9,1,2,0.24,0.18,1,3,0,0.6,0,0
,Tete,1,FUL,4.5,0,2,0.0,0.09,0,0,0,0.2,0,0
,Diogo Jota,1,LIV,7.2,0,3,0.04,0.95,0,0,0,2.6,0,0
,Taylor (Jack),1,IPS,4.8,0,1,0.01,0.02,0,0,0,0.0,0,0
,Tavernier,1,BOU,5.5,1,5,0.12,0.42,0,3,0,1.6,0,0
,Tarkowski,1,EVE,5.5,0,1,0.01,0.01,0,1,0,6.3,0,0
,Szoboszlai,1,LIV,6.5,1,3,0.24,0.15,0,3,0,4.2,0,0
,Szmodics,1,IPS,5.7,0,0,0.02,0.0,0,1,0,0.1,0,0
,Summerville,1,WHU,5.5,0,0,0.17,0.0,0,2,0,0.1,0,0
,Sugawara,1,SOU,4.2,0,0,0.22,0.0,0,1,0,0.1,0,0
,Strand Larsen,1,WOL,6.4,0,1,0.0,0.08,0,0,0,1.3,0,0
,Stephens,1,SOU,4.0,0,0,0.04,0.0,0,1,0,0.3,0,0
,Steele,1,BHA,4.3,0,0,0.0,0.0,0,0,0,0.3,1,0
,Stansfield,1,FUL,5.0,0,0,0.0,0.0,0,0,0,0.0,0,0
,Spence,1,TOT,4.5,0,0,0.0,0.0,0,0,0,1.6,0,0
,Soumaré,1,LEI,4.4,0,0,0.0,0.0,0,0,0,0.3,0,0
,Soucek,1,WHU,5.7,0,5,0.12,1.1,0,2,0,0.2,0,0
,Son,1,TOT,8.5,0,1,0.29,0.03,0,1,0,0.1,0,0
