minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,0,2,0,0,0,0,0,2,0,8,21.0,0.0,0.0,2.1,2,8,0,0,1,0.00,0.00,0.00,1.36,1,False,1,33,2025-26,David Raya Martín,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,33,2025-26,Kepa Arrizabalaga Revuelta,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,33,2025-26,Karl Hein,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,33,2025-26,Tommy Setford,1,13,False
90,0,0,0,2,0,0,0,1,0,0,0,2,22.6,0.2,5.0,2.8,6,3,1,7,1,0.02,0.01,0.03,1.36,0,False,5,33,2025-26,Gabriel dos Santos Magalhães,1,13,False
90,0,0,0,2,0,0,0,0,0,0,0,13,23.8,2.5,0.0,2.6,8,2,2,10,1,0.00,0.02,0.02,1.36,3,False,6,33,2025-26,William Saliba,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,7,33,2025-26,Riccardo Calafiori,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,8,33,2025-26,Jurriën Timber,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,33,2025-26,Jakub Kiwior,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,10,33,2025-26,Myles Lewis-Skelly,1,13,False
16,0,0,0,0,0,0,0,0,0,0,0,3,1.6,3.4,0.0,0.5,1,0,0,1,0,0.00,0.00,0.00,0.00,1,False,11,33,2025-26,Benjamin White,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,33,2025-26,Oleksandr Zinchenko,16,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,33,2025-26,Brayden Clarke,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,33,2025-26,Maldini Kacurri,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,33,2025-26,Josh Nichols,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,16,33,2025-26,Bukayo Saka,1,13,False
90,0,0,0,2,0,0,0,0,0,0,0,13,8.2,52.8,2.0,6.3,0,8,0,8,1,0.00,0.35,0.35,1.36,2,False,17,33,2025-26,Martin Ødegaard,1,13,False
45,0,0,0,1,0,0,0,0,0,0,0,5,6.2,4.7,4.0,1.5,0,4,3,7,1,0.00,0.01,0.01,0.67,1,False,18,33,2025-26,Noni Madueke,1,13,False
45,0,0,0,1,0,0,0,0,0,0,0,1,2.2,4.4,4.0,1.1,1,1,1,3,0,0.34,0.01,0.35,0.69,1,False,19,33,2025-26,Gabriel Martinelli Silva,1,13,False
16,0,0,0,0,0,0,0,0,0,0,0,10,9.2,14.5,2.0,2.6,2,1,1,4,0,0.00,0.09,0.09,0.00,1,False,20,33,2025-26,Leandro Trossard,1,13,False
90,0,0,0,2,0,0,0,0,0,0,0,13,11.4,22.8,0.0,3.4,3,5,3,11,1,0.00,0.07,0.07,1.36,2,False,21,33,2025-26,Declan Rice,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,22,33,2025-26,Mikel Merino Zazón,1,13,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,23,33,2025-26,Fábio Ferreira Vieira,1,13,False
