element,team,element_type,first_name,second_name,web_name
1,1,1,David,Raya Martín,Raya
2,1,1,Kepa,Arrizabalaga Revuelta,Arrizabalaga
3,1,1,Karl,Hein,Hein
4,1,1,Tommy,Setford,Setford
5,1,2,Gabriel,dos Santos Magalhães,Gabriel
6,1,2,William,Saliba,Saliba
7,1,2,Riccardo,Calafiori,Calafiori
8,1,2,Jurriën,Timber,J.Timber
9,1,2,Jakub,Kiwior,Kiwior
10,1,2,Myles,Lewis-Skelly,Lewis-Skelly
11,1,2,Benjamin,White,White
13,1,2,Brayden,Clarke,Clarke
14,1,2,Maldini,Kacurri,Kacurri
15,1,2,Josh,Nichols,Nichols
16,1,3,Bukayo,Saka,Saka
17,1,3,Martin,Ødegaard,Ødegaard
18,1,3,Noni,Madueke,Madueke
19,1,3,Gabriel,Martinelli Silva,Martinelli
20,1,3,Leandro,Trossard,Trossard
21,1,3,Declan,Rice,Rice
22,1,3,Mikel,Merino Zazón,Merino
23,1,3,Fábio,Ferreira Vieira,Fábio Vieira
24,1,3,Christian,Nørgaard,Nørgaard
25,1,3,Ethan,Nwaneri,Nwaneri
26,1,3,Martín,Zubimendi Ibáñez,Zubimendi
28,1,3,Ismeal,Kabia,Kabia
29,1,3,Albert,Sambi Lokonga,Sambi
30,1,4,Kai,Havertz,Havertz
31,1,4,Gabriel,Fernando de Jesus,G.Jesus
266,1,3,Eberechi,Eze,Eze
662,1,2,Cristhian,Mosquera,Mosquera
666,1,4,Viktor,Gyökeres,Gyökeres
700,1,3,Max,Dowman,Dowman
711,1,3,Andre,Harriman-Annous,Harriman-Annous
725,1,2,Piero,Hincapié,Hincapie
759,1,2,Marli,Salmon,Salmon
32,2,1,Emiliano,Martínez Romero,Martinez
33,2,1,Marco,Bizot,M.Bizot
34,2,1,Joe,Gauci,Gauci
35,2,1,Filip,Marschall,Marschall
36,2,2,Matty,Cash,Cash
37,2,2,Lucas,Digne,Digne
38,2,2,Ezri,Konsa Ngoyo,Konsa
39,2,2,Ian,Maatsen,Maatsen
40,2,2,Tyrone,Mings,Mings
41,2,2,Pau,Torres,Pau
42,2,2,Andrés,García,A.García
43,2,2,Álex,Moreno Lopera,Alex Moreno
44,2,2,Lamare,Bogarde,Bogarde
45,2,2,Lino,da Cruz Sousa,Sousa
46,2,2,Yasin,Özcan,Yasin
47,2,3,Morgan,Rogers,Rogers
48,2,3,Youri,Tielemans,Tielemans
49,2,3,Leon,Bailey,Bailey
50,2,3,Emiliano,Buendía Stati,Buendía
51,2,3,Samuel,Iling-Junior,Iling Jr
53,2,3,Donyell,Malen,Malen
54,2,3,John,McGinn,McGinn
55,2,3,Ross,Barkley,Barkley
56,2,3,Enzo,Barrenechea,Barrenechea
57,2,3,Lewis,Dobbin,Dobbin
58,2,3,Boubacar,Kamara,Kamara
59,2,3,Amadou,Onana,Onana
60,2,3,Ben,Broggio,Broggio
61,2,3,Leander,Dendoncker,Dendoncker
62,2,3,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba
63,2,3,Kadan,Young,Young
64,2,4,Ollie,Watkins,Watkins
65,2,4,Zépiqueno,Redmond,Redmond
389,2,3,Harvey,Elliott,Elliott
456,2,3,Jadon,Sancho,Sancho
688,2,1,James,Wright,Wright
699,2,3,Douglas Luiz,Soares de Paulo,Douglas Luiz
701,2,2,Triston,Rowe,Rowe
702,2,3,Bradley,Burrowes,Burrowes
703,2,1,Sam,Proctor,Proctor
710,2,2,Travis,Patterson,Patterson
719,2,2,Victor,Lindelöf,Lindelöf
754,2,3,George,Hemmings,George Hemmings
757,2,1,Ronnie,Hollingshead,Hollingshead
768,2,2,Leon,Routh,Leon Routh
781,2,2,TJ,Carroll,Carroll
792,2,3,Alysson Edward Franco,da Rocha dos Santos,Alysson
808,2,4,Tammy,Abraham,Abraham
183,3,1,Max,Weiß,Weiss
184,3,1,Etienne,Green,Green
185,3,1,Václav,Hladký,Hladký
186,3,2,Connor,Roberts,Roberts
187,3,2,Kyle,Walker,Walker
188,3,2,Hannes,Delcroix,Delcroix
189,3,2,Owen,Dodgson,Dodgson
190,3,2,Hjalmar,Ekdal,Ekdal
191,3,2,Maxime,Estève,Estève
192,3,2,Quilindschy,Hartman,Hartman
193,3,2,Bashir,Humphreys,Humphreys
194,3,2,Jordan,Beyer,Jordan
195,3,2,Lucas,Pires Silva,Lucas Pires
196,3,2,Shurandy,Sambo,Sambo
197,3,2,Oliver,Sonne,Sonne
198,3,2,Axel,Tuanzebe,Tuanzebe
199,3,2,Joe,Worrall,Worrall
200,3,3,Jaidon,Anthony,Anthony
201,3,3,Manuel,Benson Hedilazio,Benson
