Player UUID,Player Name,Web Name,season,id
8baff127-2097-4ed3-a650-9482f0cb3cfa,Erling Haaland,Haaland,2025-26,1
ab65ac51-0185-4bcc-a109-602a25d2d6c0,Phil Foden,Foden,2025-26,2
de140f2e-12d6-477e-ae47-5ca22283bdf3,Jurriën Timber,J.Timber,2025-26,3
1c2cd056-ee23-405d-bb00-490a255141a1,Jarrod Bowen,Bowen,2025-26,4
b94be940-2996-467f-be3e-4e004fa9dd3c,Mohamed Salah,M.Salah,2025-26,5
3b8f2901-f6f2-483f-bd20-8ddb408e5c63,Igor Thiago Nascimento Rodrigues,Thiago,2025-26,6
57a89095-8ea0-4791-94c5-8bea1c74d447,Joachim Andersen,Andersen,2025-26,7
25926206-fae1-4680-a16f-a85d1bc6a5ea,Bukayo Saka,Saka,2025-26,8
40226e47-afdf-40c8-8d2f-d8d044a0e545,Caoimhín Kelleher,Kelleher,2025-26,9
b8263edf-b9bc-4d94-83df-038cfc614178,Virgil van Dijk,Virgil,2025-26,10
d3fecd89-0e45-4a20-baeb-6f3245a91dc7,Marc Guéhi,Guéhi,2025-26,11
47cecb8e-adce-4abe-bdbe-ccc1bfd57a0f,Jean-Philippe Mateta,Mateta,2025-26,12
