Player UUID,Player Name,Player Name Norm,Web Name
16b72858-75e4-4125-ad3b-e13f81e6d815,Aaron Anselmino,aaron anselmino,Anselmino
b3ce891a-840c-4259-95d5-28dd820c0551,Aaron Hickey,aaron hickey,Hickey
f6ebd126-7139-4c02-9071-fe0c85cb5e2d,Aaron_Connolly_534,aaron connolly,Connolly
42309831-1ba1-4d68-80bb-754e846f2d73,Aaron_Cresswell,aaron cresswell,Cresswell
45bae922-b93e-4c3f-8428-5ef6392406fb,Aaron_Lennon,aaron lennon,Lennon
82261583-6d63-46a0-a277-6dd0c4304c3b,Aaron_Mooy,aaron mooy,Mooy
23671ec8-7065-451b-9fe5-b734e0eff580,Aaron_Ramsdale,aaron ramsdale,Ramsdale
fdddd3e0-3f83-43af-8409-f28b1d3ab27e,Aaron_Ramsey,aaron ramsey,A.Ramsey
3e037db3-443d-4b9b-a830-35bbfd0f0043,Aaron_Rowe_607,aaron rowe,Rowe
d69c83b4-9ace-4ae7-ae73-1cb70da28e14,Aaron_Wan-Bissaka,aaron wanbissaka,Wan-Bissaka
28963763-2118-4982-bb8a-1e325dd6bdcb,Abd-Al-Ali Morakinyo Olaposi_Koiki_564,abdalali morakinyo olaposi koiki,Koiki
94001f64-e120-4651-a525-8e428da51a26,Abdelhamid_Sabiri,abdelhamid sabiri,Sabiri
39f2024b-3ebb-4f11-a088-4541e6f8437e,Abdoulaye_Doucouré,abdoulaye doucoure,A.Doucoure
6da20176-efb4-4639-9809-8efd4495c95e,Abdukodir Khusanov,abdukodir khusanov,Khusanov
ab80caf5-04e0-49a2-bb6a-37d3c1268a85,Abdul Fatawu,abdul fatawu,A.Fatawu
1bcea839-56b3-4806-8a07-1989675c6229,Abdul Rahman_Baba,abdul rahman baba,Baba
fda717b7-865b-4a46-92cc-e04ce6b92e3c,Abel_Hernández,abel hernandez,Hernández
21836e21-2b5d-424f-a77d-d2041216a5b1,Aboubakar_Kamara_189,aboubakar kamara,Kamara
d8e1dbb9-2e08-459a-acd0-ae7a4d66f8c2,Abu Kamara,abu kamara,Kamara
ae9cd7e9-ae4a-46ca-aaed-03fc3ddd4579,Adalberto_Peñaranda_554,adalberto penaranda,Peñaranda
3ecf98f9-89d3-4172-934b-4599a5742505,Adam Armstrong,adam armstrong,Armstrong
94b94ba4-7c59-447f-8f84-56625fd36dbb,Adam Davies,adam davies,A.Davies
8ff95a0c-fee4-480b-97c8-1f10e4948775,Adam Wharton,adam wharton,Wharton
a2a49447-bb8c-4d2b-8be6-c74716925352,Adam_Clayton,adam clayton,Clayton
75e02677-75c9-42c8-955d-0029eb35421d,Adam_Federici,adam federici,Federici
2b076e8e-4aea-49da-be48-f6c08abf77bc,Adam_Forshaw,adam forshaw,Forshaw
34887d61-ee90-4f14-83ef-c3773908ef87,Adam_Idah_538,adam idah,Idah
f952396e-d6be-4326-a779-cd0cb6d44733,Adam_Lallana,adam lallana,Lallana
e966cdf8-bb97-4db4-995b-e155fa95a539,Adam_Legzdins,adam legzdins,Legzdins
2b56854a-104d-43fd-9219-0d0247b3f1b2,Adam_Masina_386,adam masina,Masina
6c36d38e-2201-4569-9652-ceae3b5ef02f,Adam_Matthews,adam matthews,Matthews
5b80c6e1-d700-4d7e-b9d7-6f7e9fb94ad6,Adam_Reach,adam reach,Reach
d92f206d-fd27-43f8-9351-9d3c5fcc337b,Adam_Smith,adam smith,Smith
5b35836f-f985-46bb-83bc-3605b2880b6d,Adam_Webster_493,adam webster,Webster
f97a1533-afbd-4ca9-867f-a7899ccd69bc,Adama Traoré Diarra,adama traore diarra,Adama
c76c8291-5796-4960-9400-4049deab33ad,Adama_Diakhaby_471,adama diakhaby,Diakhaby
